GeneSymbol	Description	Organism	Chromosome	Locus	TCGA-AF-2691-01A.41	TCGA-AF-2692-01A.41	TCGA-AF-3400-01A.41	TCGA-AF-3913-01A.12	TCGA-AG-3574-01A.22	TCGA-AG-3580-01A.22	TCGA-AG-3584-01A.22	TCGA-AG-3593-01A.22	TCGA-AG-3594-01A.12	TCGA-AG-4007-01A.22	TCGA-AG-A002-01A.23	TCGA-AG-A008-01A.23	TCGA-AG-A00C-01A.23	TCGA-AG-A00H-01A.22	TCGA-AG-A00H-01A.31	TCGA-AG-A00Y-01A.12	TCGA-AG-A011-01A.32	TCGA-AG-A014-01A.12	TCGA-AG-A015-01A.51	TCGA-AG-A016-01A.23	TCGA-AG-A01J-01A.22	TCGA-AG-A01L-01A.22	TCGA-AG-A01N-01A.23	TCGA-AG-A01W-01A.23	TCGA-AG-A01Y-01A.43	TCGA-AG-A020-01A.23	TCGA-AG-A026-01A.71	TCGA-AG-A02N-01A.31	TCGA-AG-A02X-01A.32	TCGA-AG-A032-01A.31	TCGA-AG-A036-01A.22
EIF3I	eukaryotic translation initiation factor 3, subunit I	Homo sapiens	1	1p34.1	6	10	6	18	21	14	9	9	17	7	11	12	7	9	16	15	14	16	17	10	9	6	6	6	8	8	18	14	4	11	6
EIF3J	eukaryotic translation initiation factor 3, subunit J	Homo sapiens	15	15q21.1	3	3	5	2	2	3	6	2	5	2	1	3	4	4	6	10	5	5	4	4	2	4	7	3	1	1	5	3	1	2	5
EIF3K	eukaryotic translation initiation factor 3, subunit K	Homo sapiens	19	19q13.2	5	5	7	5	6	5	5	5	6	5	7	8	5	6	5	7	9	7	6	5	6	5	7	3	5	5	5	6	4	5	4
EIF3L	eukaryotic translation initiation factor 3, subunit L	Homo sapiens	22	22q	13	21	7	21	27	27	23	21	25	12	20	20	13	23	26	25	21	20	17	12	17	16	14	13	10	12	24	22	12	14	17
EIF3M	eukaryotic translation initiation factor 3, subunit M	Homo sapiens	11	11p13	4	16	1	13	10	9	12	10	11	7	6	8	6	12	14	13	10	11	9	5	7	6	4	5	4	8	15	2	1	7	6
EIF4A1	eukaryotic translation initiation factor 4A1	Homo sapiens	17	17p13	2	29	12	43	36	23	17	14	26	8	13	25	6	24	20	20	13	23	31	8	24	15	5	7	16	15	26	14	11	7	8
EIF4A2	eukaryotic translation initiation factor 4A2	Homo sapiens	3	3q28	5	5	2	7	0	7	8	11	8	3	3	3	3	8	7	9	7	2	3	7	6	6	4	6	3	5	11	1	4	4	3
EIF4A3	eukaryotic translation initiation factor 4A3	Homo sapiens	17	17q25.3	9	13	8	16	13	9	11	8	14	9	11	19	12	14	12	17	19	18	13	11	10	11	13	13	10	15	21	15	4	13	11
EIF4B	eukaryotic translation initiation factor 4B	Homo sapiens	12	12q13.13	2	3	2	2	8	4	4	4	4	0	4	4	3	3	10	6	9	5	6	3	2	2	1	5	4	1	5	11	1	5	2
EIF4E	eukaryotic translation initiation factor 4E	Homo sapiens	4	4q21-q25	1	4	4	5	8	10	4	6	6	6	6	7	9	8	3	2	10	12	6	4	5	5	4	6	5	3	12	7	1	4	4
EIF4E2	eukaryotic translation initiation factor 4E family member 2	Homo sapiens	2	2q37.1	0	3	0	1	1	3	1	2	1	0	0	0	1	1	0	1	2	1	0	0	0	0	1	1	0	1	2	1	0	1	0
EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	Homo sapiens	10	10q21-q22	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	Homo sapiens	3	3q27.1	16	28	11	31	25	30	31	24	20	12	17	24	14	11	33	27	21	26	24	16	17	15	22	12	12	20	25	26	10	10	13
EIF4G2	eukaryotic translation initiation factor 4 gamma, 2	Homo sapiens	11	11p15	4	17	5	15	22	13	12	7	15	9	6	14	10	11	21	19	13	8	15	11	7	12	7	8	12	10	14	9	8	6	12
EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	Homo sapiens	1	1p36.12	0	1	0	0	3	0	1	0	1	0	0	0	0	0	1	1	1	0	2	1	0	0	3	0	0	0	1	0	0	1	0
EIF4H	eukaryotic translation initiation factor 4H	Homo sapiens	7	7q11.23	3	8	5	12	15	8	9	9	6	6	3	8	10	3	10	9	8	9	11	9	7	5	10	8	8	8	13	7	4	8	8
EIF5	eukaryotic translation initiation factor 5	Homo sapiens	14	14q32.32	15	14	7	9	14	7	17	6	13	7	5	12	8	7	12	14	8	13	7	9	6	10	11	4	9	10	11	5	5	5	5
EIF5A	eukaryotic translation initiation factor 5A	Homo sapiens	17	17p13-p12	11	32	15	26	37	23	16	13	20	16	14	32	18	22	22	21	39	43	22	24	25	25	11	19	30	26	23	35	15	23	20
EIF5B	eukaryotic translation initiation factor 5B	Homo sapiens	2	2q11.2	11	15	4	12	10	12	7	9	11	9	8	14	6	7	9	9	11	14	11	8	6	8	3	8	3	12	17	17	5	7	10
EIF6	eukaryotic translation initiation factor 6	Homo sapiens	20	20q12	5	7	5	6	10	16	7	9	6	8	12	17	11	8	10	15	8	17	12	13	12	15	18	7	8	15	18	7	4	6	9
ELAC2	elaC ribonuclease Z 2	Homo sapiens	17	17p11.2	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0
ELANE	elastase, neutrophil expressed	Homo sapiens	19	19p13.3	1	5	36	17	0	31	1	8	16	4	12	2	1	101	5	1	29	38	0	3	12	1	18	9	4	11	15	2	0	7	3
ELAVL1	ELAV like RNA binding protein 1	Homo sapiens	19	19p13.2	14	22	15	18	13	22	15	19	22	15	13	21	17	12	16	25	15	15	15	14	12	19	18	11	7	20	25	18	11	13	11
ELF1	E74-like factor 1 (ets domain transcription factor)	Homo sapiens	13	13q13	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	6	0	1	4	1	0	3	2	0	0	0	2	0	0	4	0
ELMO1	engulfment and cell motility 1	Homo sapiens	7	7p14.1	0	1	1	0	0	0	1	0	3	0	0	0	0	1	1	1	2	0	1	1	2	1	0	0	0	0	1	0	1	1	0
ELMO3	engulfment and cell motility 3	Homo sapiens	16	16q22.1	0	2	0	0	1	1	3	0	2	1	2	3	0	0	1	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0
ELMOD2	ELMO/CED-12 domain containing 2	Homo sapiens	4	4q31.1	1	2	1	1	1	1	3	0	1	2	0	1	1	1	4	4	0	1	3	4	0	3	1	0	2	0	3	1	2	1	2
ELN	elastin	Homo sapiens	7	7q11.23	0	13	0	25	14	9	26	6	23	8	2	8	4	15	6	22	3	6	5	4	48	20	9	6	18	0	9	0	9	5	34
ELOVL1	ELOVL fatty acid elongase 1	Homo sapiens	1	1p34.2	2	2	0	0	3	3	0	1	0	1	3	2	2	1	2	0	2	2	1	2	1	1	4	0	0	0	1	2	4	1	1
ELP2	elongator acetyltransferase complex subunit 2	Homo sapiens	18	18q12.2	0	0	0	0	0	1	1	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ELP3	elongator acetyltransferase complex subunit 3	Homo sapiens	8	8p21.1	1	3	0	1	0	0	1	0	3	1	1	1	2	1	4	3	2	1	2	3	0	0	0	0	0	3	2	1	1	1	1
ELP4	elongator acetyltransferase complex subunit 4	Homo sapiens	11	11p13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMC1	ER membrane protein complex subunit 1	Homo sapiens	1	1p36.13	15	10	5	1	4	6	5	5	4	5	7	4	6	6	9	8	4	8	4	5	0	4	11	5	1	7	5	3	4	7	2
EMC10	ER membrane protein complex subunit 10	Homo sapiens	19	19q13.33	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	2	1	0	0	0	0	1	0	1	1	1	1	1	0
EMC2	ER membrane protein complex subunit 2	Homo sapiens	8	8q23.1	5	5	2	4	2	5	4	2	7	4	2	3	5	0	6	4	4	8	3	4	0	1	3	2	1	2	4	4	0	5	2
EMC3	ER membrane protein complex subunit 3	Homo sapiens	3	3p25.3	1	1	0	1	0	2	0	2	1	1	2	1	1	0	2	0	2	2	0	1	0	0	3	1	1	0	1	1	1	1	2
EMC4	ER membrane protein complex subunit 4	Homo sapiens	15	15q14	2	4	1	1	1	2	4	3	2	0	2	2	2	1	2	2	0	1	2	1	1	2	3	0	0	2	2	1	1	2	1
EMC7	ER membrane protein complex subunit 7	Homo sapiens	15	15q14	3	0	1	2	1	3	1	1	4	1	1	1	1	2	1	2	0	1	1	1	1	0	2	1	0	0	2	1	1	1	0
EMC8	ER membrane protein complex subunit 8	Homo sapiens	16	16q24	1	1	2	2	2	2	1	0	3	3	0	2	0	1	4	2	2	3	0	1	1	1	2	1	1	2	2	3	0	1	1
EMD	emerin	Homo sapiens	X	Xq28	2	10	3	8	13	1	10	5	5	3	2	3	2	2	8	11	4	12	4	1	5	7	5	6	7	4	8	4	4	11	2
EMG1	EMG1 N1-specific pseudouridine methyltransferase	Homo sapiens	12	12p13.3	1	0	0	3	0	2	5	0	3	3	0	5	3	1	4	3	3	5	3	2	1	2	7	3	0	4	6	4	2	2	2
EMILIN1	elastin microfibril interfacer 1	Homo sapiens	2	2p23.3-p23.2	19	85	56	83	66	24	65	57	67	56	31	39	34	66	60	59	41	46	53	44	114	63	58	38	80	21	33	22	33	34	94
EMILIN2	elastin microfibril interfacer 2	Homo sapiens	18	18p11.3	0	1	2	1	0	1	3	2	2	1	1	0	1	1	1	2	0	0	0	3	2	1	3	1	1	0	1	0	1	0	6
EML1	echinoderm microtubule associated protein like 1	Homo sapiens	14	14q32	0	2	0	1	0	0	1	0	0	1	0	0	0	1	1	2	0	1	0	1	1	0	2	0	10	0	0	0	0	0	2
EML2	echinoderm microtubule associated protein like 2	Homo sapiens	19	19q13.32	4	13	8	7	2	4	12	5	14	9	6	11	6	6	14	16	9	13	17	6	6	6	7	5	6	2	13	4	5	7	7
EML4	echinoderm microtubule associated protein like 4	Homo sapiens	2	2p21	5	13	4	11	2	10	13	12	12	7	10	17	10	7	15	28	15	13	15	10	6	11	15	6	1	6	11	16	7	15	10
ENAH	enabled homolog (Drosophila)	Homo sapiens	1	1q42.12	0	9	0	2	2	1	2	0	0	0	0	0	0	0	1	1	0	2	3	2	0	0	4	1	3	1	3	0	0	1	2
ENDOD1	endonuclease domain containing 1	Homo sapiens	11	11q21	1	2	0	2	0	2	6	3	4	1	4	0	2	4	8	5	7	3	2	1	6	4	5	4	1	0	0	4	1	2	1
ENDOG	endonuclease G	Homo sapiens	9	9q34.1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENG	endoglin	Homo sapiens	9	9q34.11	3	0	2	1	0	1	2	3	3	2	1	0	0	3	2	3	2	1	1	2	2	1	3	1	0	3	0	1	2	0	1
ENGASE	endo-beta-N-acetylglucosaminidase	Homo sapiens	17	17q25.3	1	4	0	0	0	3	4	5	0	2	0	1	2	1	2	3	0	1	3	2	0	0	3	0	0	2	4	1	0	0	1
ENO1	enolase 1, (alpha)	Homo sapiens	1	1p36.2	58	95	133	122	297	85	145	94	166	67	91	86	48	117	191	163	69	79	91	48	136	122	118	36	85	94	80	62	56	48	53
ENO2	enolase 2 (gamma, neuronal)	Homo sapiens	12	12p13	1	0	0	0	12	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0
ENOPH1	enolase-phosphatase 1	Homo sapiens	4	4q21.22	0	3	1	4	3	2	3	3	3	1	1	3	3	4	1	2	2	3	4	3	2	3	3	1	2	2	6	1	0	1	2
ENOSF1	enolase superfamily member 1	Homo sapiens	18	18p11.32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	Homo sapiens	6	6q22-q23	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)	Homo sapiens	6	6p21.1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	2	1	0	0	0	1	0	0	0	0	1	1	0
ENSA	endosulfine alpha	Homo sapiens	1	1q21.3	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	Homo sapiens	10	10q24	1	2	2	2	5	1	2	1	4	4	0	1	1	3	1	1	0	1	0	3	4	3	1	2	3	3	2	1	2	0	4
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	Homo sapiens	14	14q24	2	1	0	0	0	6	7	3	4	2	1	8	2	2	6	4	3	0	4	2	7	4	2	2	0	0	4	0	3	2	1
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	Homo sapiens	20	20p11.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	Homo sapiens	9	9q34.3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EOGT	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase	Homo sapiens	3	3p14.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EP400	E1A binding protein p400	Homo sapiens	12	12q24.33	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0
EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	Homo sapiens	1	1p33-p32	5	3	2	3	0	4	3	1	4	2	3	3	5	2	7	4	5	1	5	2	1	0	2	6	0	1	3	4	6	0	2
EPB41L1	erythrocyte membrane protein band 4.1-like 1	Homo sapiens	20	20q11.2-q12	1	4	0	1	0	1	6	2	0	2	0	0	2	0	3	5	1	14	5	2	6	2	3	0	0	0	6	2	0	0	3
EPB41L2	erythrocyte membrane protein band 4.1-like 2	Homo sapiens	6	6q23	4	29	2	23	15	23	13	16	32	15	20	25	14	14	31	53	11	13	45	24	25	22	22	13	12	13	28	18	11	31	19
EPB41L3	erythrocyte membrane protein band 4.1-like 3	Homo sapiens	18	18p11.32	0	0	0	0	0	0	2	0	0	1	2	1	5	4	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	Homo sapiens	9	9q31-q32	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
EPB41L5	erythrocyte membrane protein band 4.1 like 5	Homo sapiens	2	2q14.2	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
EPB42	erythrocyte membrane protein band 4.2	Homo sapiens	15	15q15-q21	6	1	4	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	4	0	1	0	6	1	0	0
EPCAM	epithelial cell adhesion molecule	Homo sapiens	2	2p21	30	28	25	37	10	32	37	34	40	19	29	37	27	28	54	43	32	26	32	22	27	33	37	29	3	28	38	17	8	32	23
EPDR1	ependymin related 1	Homo sapiens	7	7p14.1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	2
EPHA2	EPH receptor A2	Homo sapiens	1	1p36	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EPHB2	EPH receptor B2	Homo sapiens	1	1p36.1-p35	3	5	0	1	0	13	0	6	4	0	3	6	3	0	5	4	1	0	8	3	0	2	4	2	0	6	4	0	0	0	7
EPHB3	EPH receptor B3	Homo sapiens	3	3q27.1	0	8	0	8	2	1	0	3	1	0	2	13	1	0	1	2	0	0	5	2	0	3	2	0	0	9	1	0	0	0	0
EPHB4	EPH receptor B4	Homo sapiens	7	7q22	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	Homo sapiens	1	1q42.1	3	6	2	1	17	3	5	2	5	3	1	3	0	1	4	4	6	5	3	4	14	5	3	4	11	2	2	2	2	1	5
EPHX2	epoxide hydrolase 2, cytoplasmic	Homo sapiens	8	8p21	1	5	2	2	0	3	5	1	1	0	0	3	2	0	7	2	5	0	2	3	3	0	0	2	0	0	4	0	0	0	1
EPM2AIP1	EPM2A (laforin) interacting protein 1	Homo sapiens	3	3p22.1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EPN1	epsin 1	Homo sapiens	19	19q13.42	0	1	0	0	3	0	0	2	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0
EPN2	epsin 2	Homo sapiens	17	17p11.2	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0
EPPK1	epiplakin 1	Homo sapiens	8	8q24.3	47	65	56	51	11	70	13	12	25	17	13	97	28	25	64	49	59	89	96	57	28	66	33	22	28	60	16	102	31	38	35
EPRS1	glutamyl-prolyl-tRNA synthetase	Homo sapiens	1	1q41	46	47	28	45	64	45	34	43	44	21	37	43	20	41	44	53	38	56	67	31	32	33	32	20	18	33	61	27	24	38	24
EPS15	epidermal growth factor receptor pathway substrate 15	Homo sapiens	1	1p32	2	8	1	2	6	1	3	2	6	4	1	2	3	3	5	5	1	2	5	3	4	2	4	0	1	2	1	3	1	0	1
EPS15L1	epidermal growth factor receptor pathway substrate 15-like 1	Homo sapiens	19	19p13.11	3	8	1	4	8	4	7	5	3	2	5	2	4	3	9	10	5	2	4	4	5	2	6	2	2	0	5	4	2	3	3
EPS8	epidermal growth factor receptor pathway substrate 8	Homo sapiens	12	12p12.3	3	1	3	0	2	2	4	5	3	1	5	3	4	0	8	11	0	8	7	4	2	1	10	1	0	3	3	2	0	2	4
EPS8L1	EPS8-like 1	Homo sapiens	19	19q13.42	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	1	0	10	1	1	0	0	1	0	0	0	1	0	0	1	0
EPS8L2	EPS8-like 2	Homo sapiens	11	11p15.5	1	11	0	3	2	3	4	2	2	1	4	4	3	3	4	4	3	7	6	3	2	5	7	1	0	2	1	3	1	1	4
EPS8L3	EPS8-like 3	Homo sapiens	1	1p13.3	6	13	4	3	0	11	3	5	3	4	2	6	9	3	8	6	4	5	6	7	2	6	6	5	0	7	8	4	2	4	4
EPX	eosinophil peroxidase	Homo sapiens	17	17q23.1	11	55	22	15	1	88	37	64	122	43	23	34	59	226	86	73	103	96	52	17	77	74	12	66	42	58	11	43	44	55	41
ERAL1	Era-like 12S mitochondrial rRNA chaperone 1	Homo sapiens	17	17q11.2	2	0	0	0	0	2	2	0	1	1	0	0	1	0	0	5	2	2	1	1	0	0	8	0	0	1	3	0	0	0	1
ERAP1	endoplasmic reticulum aminopeptidase 1	Homo sapiens	5	5q15	16	47	15	12	13	15	31	12	26	17	12	32	24	25	36	26	21	30	14	15	12	47	13	8	12	7	10	20	11	12	22
ERAP2	endoplasmic reticulum aminopeptidase 2	Homo sapiens	5	5q15	5	11	0	0	2	5	1	10	20	3	1	1	1	0	0	2	5	0	0	0	9	12	0	1	0	0	0	6	0	19	2
ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	Homo sapiens	17	17q12	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0
ERBIN	erbb2 interacting protein	Homo sapiens	5	5q12.3	0	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	3	0	0	0
ERC1	ELKS/RAB6-interacting/CAST family member 1	Homo sapiens	12	12p13.3	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	1	0	0	2	0	0	0
ERCC2	excision repair cross-complementation group 2	Homo sapiens	19	19q13.3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0
ERCC3	excision repair cross-complementation group 3	Homo sapiens	2	2q21	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ERCC6	excision repair cross-complementation group 6	Homo sapiens	10	10q11.23	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ERGIC1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	Homo sapiens	5	5q35.1	2	6	12	4	22	7	3	6	8	4	5	9	3	6	10	5	10	5	6	6	6	5	3	2	3	4	1	7	2	3	3
ERGIC2	ERGIC and golgi 2	Homo sapiens	12	12p11.22	1	0	1	0	1	1	1	0	2	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
ERGIC3	ERGIC and golgi 3	Homo sapiens	20	20pter-q12	0	0	1	0	1	0	1	0	3	0	0	1	0	1	1	2	0	3	1	1	0	0	2	0	1	0	0	1	0	1	0
ERH	enhancer of rudimentary homolog (Drosophila)	Homo sapiens	14	14q24.1	0	1	2	2	5	1	1	1	3	0	2	5	2	2	5	9	2	4	2	1	0	1	5	1	2	0	3	2	0	2	2
ERI1	exoribonuclease 1	Homo sapiens	8	8p23.1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ERLEC1	endoplasmic reticulum lectin 1	Homo sapiens	2	2p16.2	0	2	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ERLIN1	ER lipid raft associated 1	Homo sapiens	10	10q24.31	2	3	2	2	5	2	4	1	6	2	3	2	1	2	3	3	1	3	2	2	3	5	4	1	2	3	2	3	3	2	3
ERLIN2	ER lipid raft associated 2	Homo sapiens	8	8p11.2	4	10	3	5	10	7	6	7	11	9	9	8	7	8	5	7	4	10	8	4	10	8	12	7	7	4	2	3	5	6	7
ERMP1	endoplasmic reticulum metallopeptidase 1	Homo sapiens	9	9p24	6	2	5	7	4	5	7	4	8	8	3	6	6	4	7	7	8	8	7	4	1	4	5	4	0	4	4	5	3	9	8
ERN2	endoplasmic reticulum to nucleus signaling 2	Homo sapiens	16	16p12.2	0	1	4	0	0	0	0	0	7	0	1	0	0	0	3	1	1	0	2	0	0	3	1	0	0	1	0	0	3	0	1
ERO1A	ERO1-like (S. cerevisiae)	Homo sapiens	14	14q22.1	7	21	10	10	15	13	9	17	13	10	15	17	11	14	16	23	17	21	18	13	7	14	10	12	9	6	13	13	5	18	9
ERP29	endoplasmic reticulum protein 29	Homo sapiens	12	12q24.13	20	23	22	21	18	16	23	23	36	14	16	22	16	21	33	32	20	21	31	21	18	20	19	11	18	18	22	33	19	14	17
ERP44	endoplasmic reticulum protein 44	Homo sapiens	9	9q31.1	11	9	20	14	14	15	20	18	23	9	12	13	15	14	32	20	14	16	21	14	9	13	7	12	9	16	13	16	7	17	17
ESD	esterase D	Homo sapiens	13	13q14.1-q14.2	4	19	6	16	17	9	15	20	16	13	7	19	14	17	14	30	15	23	29	18	15	21	13	11	20	10	22	7	6	15	16
ESRP1	epithelial splicing regulatory protein 1	Homo sapiens	8	8q22.1	2	4	0	5	6	6	4	7	1	2	3	7	4	1	4	3	5	1	3	5	7	3	7	4	0	3	7	10	0	4	1
ESRP2	epithelial splicing regulatory protein 2	Homo sapiens	16	16q22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ESRRA	estrogen-related receptor alpha	Homo sapiens	11	11q13	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0
ESYT1	extended synaptotagmin-like protein 1	Homo sapiens	12	12q13.2	11	34	19	28	24	25	27	33	27	18	17	31	13	28	30	27	22	17	43	23	35	26	17	23	30	18	28	42	18	26	28
ESYT2	extended synaptotagmin-like protein 2	Homo sapiens	7	7q36.3	1	13	4	11	15	5	18	5	9	4	7	3	2	10	14	16	5	5	12	6	8	10	6	7	4	3	5	7	3	8	6
ETF1	eukaryotic translation termination factor 1	Homo sapiens	5	5q31.1	6	19	7	17	15	17	19	17	22	10	5	18	13	16	21	25	10	16	23	11	11	10	14	13	8	13	12	14	5	12	10
ETFA	electron-transfer-flavoprotein, alpha polypeptide	Homo sapiens	15	15q23-q25	20	33	17	34	26	35	44	36	43	33	31	24	30	31	43	35	27	38	41	32	32	33	41	31	14	28	51	30	14	31	23
ETFB	electron-transfer-flavoprotein, beta polypeptide	Homo sapiens	19	19q13.3	15	21	13	19	11	22	33	33	28	22	22	20	20	18	26	33	19	37	26	23	14	20	19	17	14	20	32	22	12	22	16
ETFDH	electron-transferring-flavoprotein dehydrogenase	Homo sapiens	4	4q32-q35	4	3	0	1	2	4	8	2	5	1	3	6	2	1	2	3	4	3	5	2	4	7	7	0	0	1	1	0	0	0	0
ETHE1	ethylmalonic encephalopathy 1	Homo sapiens	19	19q13.31	3	5	7	3	5	3	1	5	10	3	4	10	8	4	16	27	10	10	8	5	2	17	7	10	2	3	13	3	4	5	1
EVI2B	ecotropic viral integration site 2B	Homo sapiens	17	17q11.2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
EVL	Enah/Vasp-like	Homo sapiens	14	14q32.2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	4	0	1	1	6	0	1	1	0	2	2
EVPL	envoplakin	Homo sapiens	17	17q25	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	18	0	1	0	1	1	0	0	0	0	0	0	0	0
EWSR1	EWS RNA-binding protein 1	Homo sapiens	22	22q12.2	2	9	2	13	7	6	8	10	13	2	6	15	5	6	13	14	10	7	15	3	4	7	6	6	3	4	17	9	4	12	6
EXD2	exonuclease 3'-5' domain containing 2	Homo sapiens	14	14q24.1	4	2	1	0	0	3	1	1	1	4	2	0	4	0	1	2	2	1	1	3	1	0	1	1	1	1	3	3	1	1	2
EXOC1	exocyst complex component 1	Homo sapiens	4	4q12	3	4	3	1	3	0	2	2	5	1	1	1	1	1	2	3	3	4	1	1	1	0	1	0	0	1	3	4	0	0	2
EXOC2	exocyst complex component 2	Homo sapiens	6	6p25.3	2	4	0	2	2	2	3	1	2	3	1	1	1	3	3	2	1	2	1	1	2	3	3	0	1	2	1	2	1	1	1
EXOC3	exocyst complex component 3	Homo sapiens	5	5p15.33	1	2	1	0	1	2	1	1	3	6	1	3	1	2	0	3	2	2	1	2	2	2	2	0	1	3	0	2	1	0	1
EXOC4	exocyst complex component 4	Homo sapiens	7	7q31	6	6	0	3	3	1	3	3	3	6	1	4	6	2	4	5	3	5	5	7	2	3	6	2	0	3	7	2	2	2	5
EXOC5	exocyst complex component 5	Homo sapiens	14	14q22.3	0	4	1	1	5	1	3	2	3	2	1	1	0	2	2	3	3	4	5	2	1	2	3	1	3	2	1	3	1	1	1
